loan_id,source_row_number,split,issue_month,target,text_available,cohort,dataset_version
lc_001675678,1675678,validation,2013-12,0,1,real_text_matured_v1,kaggle-adarshsng-local-2026-09-09
lc_001675680,1675680,validation,2013-12,0,1,real_text_matured_v1,kaggle-adarshsng-local-2026-09-09
lc_001675685,1675685,validation,2013-12,0,1,real_text_matured_v1,kaggle-adarshsng-local-2026-09-09
lc_001675686,1675686,validation,2013-12,0,1,real_text_matured_v1,kaggle-adarshsng-local-2026-09-09
lc_001675687,1675687,validation,2013-12,0,1,real_text_matured_v1,kaggle-adarshsng-local-2026-09-09
lc_001675688,1675688,validation,2013-12,0,1,real_text_matured_v1,kaggle-adarshsng-local-2026-09-09
lc_001675689,1675689,validation,2013-12,0,1,real_text_matured_v1,kaggle-adarshsng-local-2026-09-09
lc_001675692,1675692,validation,2013-12,0,1,real_text_matured_v1,kaggle-adarshsng-local-2026-09-09
lc_001675693,1675693,validation,2013-12,1,1,real_text_matured_v1,kaggle-adarshsng-local-2026-09-09
lc_001675694,1675694,validation,2013-12,0,1,real_text_matured_v1,kaggle-adarshsng-local-2026-09-09
lc_001675696,1675696,validation,2013-12,0,1,real_text_matured_v1,kaggle-adarshsng-local-2026-09-09
lc_001675698,1675698,validation,2013-12,0,1,real_text_matured_v1,kaggle-adarshsng-local-2026-09-09
lc_001675701,1675701,validation,2013-12,0,1,real_text_matured_v1,kaggle-adarshsng-local-2026-09-09
lc_001675704,1675704,validation,2013-12,0,1,real_text_matured_v1,kaggle-adarshsng-local-2026-09-09
lc_001675705,1675705,validation,2013-12,0,1,real_text_matured_v1,kaggle-adarshsng-local-2026-09-09
lc_001675707,1675707,validation,2013-12,0,1,real_text_matured_v1,kaggle-adarshsng-local-2026-09-09
lc_001675709,1675709,validation,2013-12,0,1,real_text_matured_v1,kaggle-adarshsng-local-2026-09-09
lc_001675713,1675713,validation,2013-12,0,1,real_text_matured_v1,kaggle-adarshsng-local-2026-09-09
lc_001675715,1675715,validation,2013-12,0,1,real_text_matured_v1,kaggle-adarshsng-local-2026-09-09
lc_001675720,1675720,validation,2013-12,0,1,real_text_matured_v1,kaggle-adarshsng-local-2026-09-09
lc_001675721,1675721,validation,2013-12,0,1,real_text_matured_v1,kaggle-adarshsng-local-2026-09-09
lc_001675723,1675723,validation,2013-12,0,1,real_text_matured_v1,kaggle-adarshsng-local-2026-09-09
lc_001675727,1675727,validation,2013-12,0,1,real_text_matured_v1,kaggle-adarshsng-local-2026-09-09
lc_001675728,1675728,validation,2013-12,0,1,real_text_matured_v1,kaggle-adarshsng-local-2026-09-09
lc_001675730,1675730,validation,2013-12,0,1,real_text_matured_v1,kaggle-adarshsng-local-2026-09-09
lc_001675732,1675732,validation,2013-12,0,1,real_text_matured_v1,kaggle-adarshsng-local-2026-09-09
lc_001675733,1675733,validation,2013-12,0,1,real_text_matured_v1,kaggle-adarshsng-local-2026-09-09
lc_001675736,1675736,validation,2013-12,0,1,real_text_matured_v1,kaggle-adarshsng-local-2026-09-09
lc_001675737,1675737,validation,2013-12,0,1,real_text_matured_v1,kaggle-adarshsng-local-2026-09-09
lc_001675742,1675742,validation,2013-12,0,1,real_text_matured_v1,kaggle-adarshsng-local-2026-09-09
lc_001675743,1675743,validation,2013-12,0,1,real_text_matured_v1,kaggle-adarshsng-local-2026-09-09
lc_001675744,1675744,validation,2013-12,0,1,real_text_matured_v1,kaggle-adarshsng-local-2026-09-09
lc_001675749,1675749,validation,2013-12,0,1,real_text_matured_v1,kaggle-adarshsng-local-2026-09-09
lc_001675750,1675750,validation,2013-12,0,1,real_text_matured_v1,kaggle-adarshsng-local-2026-09-09
lc_001675752,1675752,validation,2013-12,0,1,real_text_matured_v1,kaggle-adarshsng-local-2026-09-09
