ngram,coefficient,train_document_count,train_document_percent,direction
purchase major,2.8035594717195798,492,0.5701505336469934,higher_risk
thats,2.3369820621635466,122,0.14137879086368535,higher_risk
time current,2.2607644396066986,58,0.06721286778765369,higher_risk
consolidation make,2.2041903628173403,94,0.1089311995179215,higher_risk
payday,2.191847556149927,73,0.08459550600859861,higher_risk
payment late,2.136553371118661,189,0.21902124158390598,higher_risk
establish,2.0603953717212993,186,0.215544713939717,higher_risk
makes good,2.038563231833395,250,0.2897106370157487,higher_risk
wanting pay,1.9961710423773573,99,0.11472541225823647,higher_risk
food,1.9908147590880665,766,0.8876733918162539,higher_risk
help loan,1.988110246964792,171,0.1981620757187721,higher_risk
loan know,1.9874474744241886,61,0.07068939543184267,higher_risk
33,1.944531634464814,106,0.12283731009467744,higher_risk
60 months,1.9087488903927445,110,0.1274726802869294,higher_risk
consolidation higher,1.8836220363599838,94,0.1089311995179215,higher_risk
educational,1.8779260256006158,375,0.434565955523623,higher_risk
questions feel,1.875431145355231,155,0.17962059494976418,higher_risk
financial stability,1.8475243012729152,66,0.07648360817215764,higher_risk
loans credit,1.8261356342291848,471,0.5458148401376705,higher_risk
life insurance,1.8052729545249075,64,0.07416592307603166,higher_risk
rate,-2.6638582589335975,12305,14.25955755391515,lower_risk
totaling,-2.5525816800804497,165,0.19120902043039412,lower_risk
salary,-2.377588147959897,797,0.9235975108062068,lower_risk
fairly,-2.278009075587589,129,0.1494906887001263,lower_risk
thanks help,-2.1936405570907964,361,0.4183421598507411,lower_risk
birth,-2.1570802708819614,66,0.07648360817215764,lower_risk
seen,-2.135470973890209,157,0.18193828004589016,lower_risk
bofa,-2.0993577530499055,80,0.09270740384503957,lower_risk
loan early,-2.0860882654336876,216,0.25030999038160684,lower_risk
great credit,-2.0783658847748616,466,0.5400206273973556,lower_risk
ira,-2.069662114780242,97,0.11240772716211049,lower_risk
excellent credit,-2.0106990083277925,1178,1.3651165216182077,lower_risk
mint,-2.006086235917708,95,0.1100900420659845,lower_risk
rate paying,-1.9591714927471946,138,0.15992027163269326,lower_risk
reasonable rate,-1.946355781398799,191,0.221338926680032,lower_risk
debt easy,-1.9261097171131005,176,0.20395628845908706,lower_risk
kitchen remodel,-1.9222909174861107,103,0.11936078245048845,lower_risk
structured,-1.883728494090241,118,0.13674342067143339,lower_risk
living expenses,-1.8706452836934466,331,0.38357688340885127,lower_risk
rates credit,-1.8603659085753688,357,0.4137067896584891,lower_risk
