ngram,coefficient,train_document_count,train_document_percent,direction
payday,2.5529265047600678,65,0.07532476562409465,higher_risk
time current,2.370351879286189,58,0.06721286778765369,higher_risk
food,2.248919432664823,763,0.8841968641720649,higher_risk
use fund,2.214048283606297,57,0.0660540252395907,higher_risk
thats,2.2052413592251137,122,0.14137879086368535,higher_risk
loan know,2.1580848869654337,61,0.07068939543184267,higher_risk
payment late,2.098439576953564,188,0.217862399035843,higher_risk
wanna,2.0893184132120224,50,0.05794212740314973,higher_risk
makes good,2.0712502340268553,249,0.2885517944676857,higher_risk
life insurance,2.011594829352446,64,0.07416592307603166,higher_risk
establish,1.9870238500987976,186,0.215544713939717,higher_risk
clothing,1.9690678552229401,126,0.14601416105593734,higher_risk
questions feel,1.956997749053748,155,0.17962059494976418,higher_risk
capitol,1.9486982605581633,58,0.06721286778765369,higher_risk
month time,1.938486932001534,91,0.10545467187373252,higher_risk
trade,1.92628466278777,93,0.1077723569698585,higher_risk
opening,1.9165609578855403,184,0.21322702884359102,higher_risk
live debt,1.8939450509823939,71,0.08227782091247263,higher_risk
wanting pay,1.8843424108366305,99,0.11472541225823647,higher_risk
trustworthy,1.8618782864170946,104,0.12051962499855144,higher_risk
rate,-2.623713539767004,12066,13.982594184928093,lower_risk
totaling,-2.5952488991116196,164,0.19005017788233114,lower_risk
fairly,-2.458525572120091,129,0.1494906887001263,lower_risk
loan small,-2.32568336527417,77,0.08923087620085059,lower_risk
birth,-2.323257188341205,66,0.07648360817215764,lower_risk
ira,-2.1946906669640294,96,0.11124888461404749,lower_risk
salary,-2.173652274547665,796,0.9224386682581438,lower_risk
seen,-2.1344695200644748,157,0.18193828004589016,lower_risk
great credit,-2.1160285458154946,438,0.5075730360515917,lower_risk
loan early,-2.1093088994809848,216,0.25030999038160684,lower_risk
mint,-2.09759344691279,94,0.1089311995179215,lower_risk
rate paying,-2.0913779550256497,138,0.15992027163269326,lower_risk
need repair,-2.0890391506283423,63,0.07300708052796867,lower_risk
girlfriend,-2.023828854340833,154,0.17846175240170117,lower_risk
rates credit,-2.0080028755898502,316,0.36619424518790633,lower_risk
fall,-1.9943341883622052,241,0.2792810540831817,lower_risk
upper,-1.9412335094668574,70,0.08111897836440962,lower_risk
smart,-1.9213649836950468,181,0.20975050119940203,lower_risk
want refinance,-1.9208227513218947,67,0.07764245072022065,lower_risk
financed,-1.9135377902518513,153,0.1773029098536382,lower_risk
