max_features,ngram_range,C,mean_cv_pr_auc,std_cv_pr_auc,rank
10000,"(1, 2)",0.1,0.21504255987973414,0.0029741645397864925,1
5000,"(1, 2)",0.1,0.21461967140394972,0.003008405279987649,2
3000,"(1, 2)",0.1,0.21419630292623548,0.002987018122610368,3
3000,"(1, 1)",0.1,0.21063946807094788,0.002286971716651557,4
5000,"(1, 1)",0.1,0.21060140712970057,0.0022499011059898526,5
3000,"(1, 2)",0.01,0.21033526550699372,0.0038988383929805482,6
5000,"(1, 2)",0.01,0.2101260647759457,0.0034312996117746505,7
10000,"(1, 1)",0.1,0.21003349476446367,0.0022284186146558855,8
10000,"(1, 2)",0.01,0.20939805486426738,0.0030700080810998945,9
3000,"(1, 1)",0.01,0.207533245647915,0.0024313664579640997,10
5000,"(1, 1)",0.01,0.2073201744002784,0.002556587870231639,11
10000,"(1, 1)",0.01,0.2064745998430743,0.002334656874941226,12
3000,"(1, 2)",1.0,0.20360381199713212,0.002251452681900733,13
10000,"(1, 2)",1.0,0.20259731576008505,0.0025206300708917953,14
5000,"(1, 2)",1.0,0.20254250985777816,0.002865992450291186,15
3000,"(1, 1)",1.0,0.2010251541243842,0.0015597194643843341,16
5000,"(1, 1)",1.0,0.20022581833137548,0.0016730609147035155,17
10000,"(1, 1)",1.0,0.20001657933027484,0.0015764932103332213,18
3000,"(1, 2)",10.0,0.19592316822140718,0.002261221528326666,19
3000,"(1, 1)",10.0,0.19194143605955766,0.0023114497621890824,20
5000,"(1, 2)",10.0,0.1911109067955282,0.0033486286774764822,21
5000,"(1, 1)",10.0,0.18792754563834646,0.0026595458887216533,22
10000,"(1, 2)",10.0,0.18703389558620948,0.0023420746309388623,23
10000,"(1, 1)",10.0,0.18634707725697558,0.001712044838577402,24
